path, name1, source1, url1,
"mod\question\BGM\msys12.wav","BSFX Insects 1 (GIN)","","",
"mod\question\BGM\msys13.wav","BSFX Insects 2 (GIN)","","",
"mod\question\BGM\msys14.wav","BSFX Monks Chanting (New)","","",
"mod\question\BGM\msys15.wav","msys15 REPLACEMENT Cello and Epic Drums (New)","","",
"mod\question\BGM\msys16.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\question\BGM\msys17.wav","Gear ","Higurashi no Naku Koro ni ","MX1hS7PwgRU",
"mod\question\BGM\msys18.wav","Dawn ","Higurashi no Naku Koro ni ","D4Vd1350-a8",
"mod\question\BGM\msys19.wav","Theme of owner ","Higurashi no Naku Koro ni ","Og3m-0CsePA",
"mod\question\BGM\msys20.wav","Fascism ","Higurashi no Naku Koro ni ","GhKrTag5Rbc",
"mod\question\BGM\msys21.wav","Rainy Days ","Higurashi no Naku Koro ni ","m18qsZ8jDyg",
"mod\question\BGM\msys22.wav","Dancers #1 ","Higurashi no Naku Koro ni ","127rv27P6AI",
"mod\question\BGM\msys23.wav","Dancers #7 ","Higurashi no Naku Koro ni ","OVFNCdodmTA",
"mod\question\BGM\msys24.wav","Snow #3 ＂First snow＂ ","Higurashi no Naku Koro ni ","QYQH4UjGuvY",
"mod\question\BGM\msys25.wav","Snow #4 ＂Frozen to death＂ ","Higurashi no Naku Koro ni ","5G_DfhL8XP0",
"mod\question\BGM\msys26.wav","Sunrise ","Higurashi no Naku Koro ni ","DvBwbtRxE0A",
"mod\question\BGM\msys27.wav","Tell a thing -piano solo ver.- (Radiata Alice Version) ","Higurashi no Naku Koro ni (07th_mod) ","XUNOms16TdY",
"mod\question\BGM\msys28.wav","Lie lies-lies lie ","Higurashi no Naku Koro ni ","9D1MewtrV1M",
"mod\question\BGM\msys29.wav","Heigen wo Iku (Going to the Plains) ","Higurashi no Naku Koro ni ","3DpmpxF_VzQ",
"mod\question\BGM\msys30.wav","Meditation #1 ","Higurashi no Naku Koro ni ","bvHD_Plk4c4",
"mod\question\BGM\msys31.wav","Days of children #3 ","Higurashi no Naku Koro ni ","F8iQ9urzH-8",
"mod\question\BGM\msys32.wav","Dancers #5 ","Higurashi no Naku Koro ni ","nQe2zT8nicI",
"mod\question\BGM\msysmi.wav","msysmi REPLACEMENT Upbeat Rock Music (New)","","",
"mod\question\BGM\msysre.wav","Search and Destroy ","Higurashi no Naku Koro ni Kai ","Xvh5lbVQX0g",
"mod\question\BGM\msysri.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\question\BGM\msyssa.wav","Snow #4 ＂Frozen to death＂ ","Higurashi no Naku Koro ni ","5G_DfhL8XP0",
"mod\question\OGBGM\lsys11.wav","BSFX Cicadas (GIN)","","",
"mod\question\OGBGM\lsys12.wav","BSFX Insects 1 (GIN)","","",
"mod\question\OGBGM\lsys13.wav","BSFX Insects 2 (GIN)","","",
"mod\question\OGBGM\lsys14.wav","Asagiri (Morning Fog) ","Higurashi no Naku Koro ni ","lnBTX88qHP4",
"mod\question\OGBGM\lsys15.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\question\OGBGM\lsys16.wav","BSFX Frogs (GIN)","","",
"mod\question\OGBGM\lsys17.wav","BSFX Telephone (GIN)","","",
"mod\question\OGBGM\lsys18.wav","BSFX Creepy Rattle (GIN)","","",
"mod\question\OGBGM\lsys19.wav","BSFX River (GIN)","","",
